smooth muscle	0000004135
life cycle	0000004585
muscle spindle	0000001102
medial forebrain bundle	0000003455
color triangle	0000000238
visual angle	0000001719
profile	0000004086
Durkheim David Emile	0000005088
Lacan Jacques-Marie-Emile	0000005180
spontaneous smile	0000002664
percentile	0000003649
braille	0000003297
role	0000004487
thematic role	0000002150
sex role	0000002659
Premack principle	0000004062
encoding specificity principle	0000003993
time-frequency uncertainty principle	0000001742
sample	0000003919
matching-to-sample	0000004346
saccule	0000000985
yoked schedule	0000004728
chained schedule	0000004732
mixed schedule	0000001560
Edwards Personal Preference Schedule	0000000218
multiple schedule	0000001560
interlocking schedule	0000004742
reciprocal schedule	0000002787
tandem schedule	0000004732
extinction schedule	0000002212
differential reinforcement schedule	0000004094
concurrent schedule	0000004152
Wurzburger Schule	0000000303
rewriting rule	0000000626
transformational rule	0000004184
projection rule	0000003352
Hebbs rule	0000004167
display rule	0000003897
life style	0000004586
cognitive style	0000003553
experimental game	0000001913
zero-sum game	0000002706
non-zero-sum game	0000003851
ultimatum game	0000001592
self-blame	0000001885
frame	0000004065
color scheme	0000001765
morpheme	0000001198
sememe	0000000226
phoneme	0000000543
crime	0000003748
female crime	0000002301
sexual crime	0000002652
serious crime	0000001004
inter-response time	0000003772
reaction time	0000003777
simple reaction time	0000003010
syndrome	0000002231
olfactory reference syndrome	0000001830
Korsakoff syndrome	0000001551
irritable bowel syndrome	0000000756
hyperventilation syndrome	0000000625
Down syndrome	0000002942
Williams syndrome	0000000281
Gerstmanns syndrome	0000001245
Aspergers syndrome	0000000049
Charles Bonnet syndrome	0000002055
savant syndrome	0000001635
empty-nest syndrome	0000000761
Rett syndrome	0000004719
acquired immunodeficiency syndrome	0000000335
Kluver-Bucy syndrome	0000001145
Kagan Jerome	0000005034
Gibson James Jerome	0000005018
chromosome	0000002739
realisme	0000001931
structualisme	0000001395
tympanic membrane	0000001533
gene	0000000208
phosphene	0000002719
mental hygiene	0000002603
Zazzo Rene	0000005044
psychosomatic medicine	0000002385
holistic medicine	0000002741
evidence-based medicine	0000001559
narrative-based medicine	0000004464
alternative medicine	0000002911
preventive medicine	0000004576
behavioral medicine	0000001406
caffeine	0000000757
sausage machine	0000002846
teaching machine	0000003229
Turing machine	0000003112
Neumann machine	0000003576
non-Neumann machine	0000003576
line	0000004588
