2-90-07	0000007938-011
207B0	0000000588-001
200B7	0000001979-011
207D0	0000000586-013
2008	0000001435-001
8002	0000005712-001
2080	0000001488-011
2800	0000002007-001
8200	0000005854-001	0000006209-001
8020	0000005727-001
2-80-08	0000004335-011
2-80-80	0000004564-012
2-08-08	0000005523-011
2-08-80	0000001921-001
2-08-90	0000001960-001
2-90-08	0000007898-001
2-80-90	0000004611-001
2-08-09	0000005353-011
2-90-80	0000008125-001
9002	0000006379-011	0000007778-001
2009	0000001436-001
9200	0000006467-013	0000008068-001
2900	0000002065-001
2090	0000001495-011
9020	0000006388-002	0000007795-001
2-90-90	0000008142-001
2-90-09	0000007900-001
300	0000000229-001
3003	0000002133-011
3300	0000002334-001
3030	0000002148-001
3040	0000002153-001
3400	0000000015-012	0000002404-011
3004	0000002134-001
4003	0000002834-001
4030	0000002848-001
4300	0000003035-011
3050	0000002160-001
5003	0000003553-001
5030	0000003569-011
3005	0000002134-011
3500	0000002469-001
5300	0000000652-011	0000003775-001
3006	0000002134-012
6003	0000004274-013
6300	0000004488-001
6030	0000004290-011
3600	0000002541-011
3060	0000002169-001
3007	0000002134-013
7030	0000004190-001	0000005027-002
3070	0000002175-001
7300	0000005225-012
3700	0000002607-001
7003	0000005012-001
3008	0000002135-001
8003	0000005713-001	0000005964-001
8030	0000005735-001	0000005988-001
8300	0000005930-001	0000006349-011
3800	0000001815-012	0000002684-001
3080	0000002184-001
3009	0000002136-001
3090	0000002192-001
9003	0000006380-001	0000007785-001
3900	0000002173-011	0000002754-011
9030	0000006392-011
9300	0000006509-012
400	0000000311-001
4004	0000002835-001
4400	0000003103-001
4040	0000002858-001
5400	0000003849-001
4050	0000002866-001
5004	0000003554-001
4500	0000003174-001
4005	0000002836-001
5040	0000003576-001	0000006323-012
6040	0000004298-011
4006	0000002836-002
4600	0000003250-001
4060	0000002871-001
6400	0000004568-001
6004	0000004274-014
4700	0000003329-001
4007	0000002836-011
7040	0000005034-011
7400	0000005290-011
7004	0000005012-011
4070	0000002879-011
4008	0000002837-001
8004	0000005713-002	0000005967-001
8400	0000006003-002
4800	0000003407-001
8040	0000005739-001
4080	0000002885-011
4009	0000002837-011
9400	0000006556-011
4090	0000002894-001
9004	0000006380-011
4900	0000003482-001
9040	0000006396-013
4E00	0000000002-001
400F	0000004970-011
4F00	0000000145-001
500	0000000384-001
5005	0000000271-001	0000003554-011
5500	0000000939-001	0000003918-001
5050	0000000306-001	0000003582-001
6005	0000004274-015
6500	0000002790-001	0000004648-001
6050	0000002229-001	0000004306-001
5600	0000003991-001
5006	0000000296-001	0000003555-001
5060	0000003586-002
5070	0000000318-001	0000003595-001
5700	0000001155-012	0000004062-011
7500	0000005358-011
7050	0000005042-012
7005	0000004163-001	0000005013-001
5007	0000003555-011
8500	0000006076-012	0000006587-011
5800	0000001253-001	0000004135-001
8005	0000005714-001	0000005966-001
5080	0000000329-001	0000003601-011
5008	0000003556-001
8050	0000005747-011
9500	0000006601-001
9050	0000006401-001	0000007822-001
5009	0000000932-001	0000003557-001
5900	0000001370-012	0000004207-001
9005	0000006381-001	0000007780-001
5090	0000003609-001
500A	0000000357-012
5A00	0000001494-001
5B00	0000001576-001
500B	0000000267-001
500D	0000000288-001
50D0	0000000374-001
5E00	0000001921-001
500E	0000000285-001
500F	0000004436-012
5F00	0000002050-001
600	0000000448-001
6060	0000002195-011	0000004314-001
6600	0000002911-001	0000004716-002
6006	0000004274-016
6070	0000002235-001	0000004321-001
6007	0000004274-017
7006	0000004168-001	0000005014-001
6700	0000003040-001	0000004785-001
7600	0000004812-001	0000005435-001
7060	0000005051-011
6008	0000004275-001
6800	0000003252-011	0000004866-011
8006	0000005715-001	0000005965-001
8060	0000005753-002
8600	0000006150-001	0000006685-011
6080	0000004328-001
9600	0000006644-011
6090	0000002298-011	0000004335-001
9060	0000006406-001	0000007843-001
9006	0000006381-011	0000007779-001
6009	0000004276-001
6900	0000003338-001	0000004931-001
60A0	0000002273-001
600A	0000002211-001
60B0	0000002294-001
600D	0000002202-001
6D00	0000003835-001
600E	0000002206-001
60E0	0000002233-002
600F	0000002194-001
60F0	0000002332-001
700	0000000511-001
7007	0000004164-001	0000005014-011
7700	0000002928-012	0000005495-001
7070	0000004207-001	0000005058-011
7080	0000005067-001
8070	0000005761-001	0000006011-012
7008	0000005014-012
8700	0000006218-001	0000006805-001
8007	0000005716-001	0000005968-001
7800	0000005568-001
7900	0000004090-012	0000005636-001
9070	0000006410-011	0000007855-001
9700	0000006687-011	0000008502-001
9007	0000006382-001
7090	0000005075-001
7009	0000004165-001	0000005014-013
7A00	0000005262-001
700A	0000004170-001
70B0	0000004233-001
700B	0000004166-001
7C00	0000005502-001
7D00	0000005628-001
700F	0000004175-001
800	0000000569-013
8008	0000005717-001	0000005968-011
8800	0000006289-001
8080	0000005769-001
9080	0000006415-011	0000007873-001
9008	0000006382-011	0000007767-012
8090	0000005776-002
9800	0000006745-001
8009	0000005717-011
